fawn,fawned
target,targeted
hike,hiked
iron,ironed
effectuate,effectuated
rewrite,rewrote
navigate,navigated
resound,resounded
lull,lulled
cadge,cadged
ponder,pondered
quarry,quarried
rehouse,rehoused
transmit,transmitted
finagle,finagled
quieten,quietened
acquire,acquired
backcross,backcrossed
affiance,affianced
phase,phased
grave,graven
swamp,swamped
bracket,bracketed
oppress,oppressed
reserve,reserved
toast,toasted
tauten,tautened
do,did
reorientate,reorientated
prune,pruned
wham,whammed
photostat,photostatted
disincline,disinclined
steam,steamed
reread,reread
misdirect,misdirected
unmake,unmade
misname,misnamed
ruffle,ruffled
begrime,begrimed
drawl,drawled
accord,accorded
embody,embodied
emulsify,emulsified
unfold,unfolded
anele,aneled
cop,copped
cow,cowed
steep,steeped
bray,brayed
brag,bragged
steer,steered
cog,cogged
coo,cooed
tone,toned
abbreviate,abbreviated
spear,speared
refill,refilled
speak,spoke
accentuate,accentuated
excite,excited
overtax,overtaxed
hap,happed
hoist,hoisted
spellbind,spellbound
disarrange,disarranged
inhibit,inhibited
solvate,solvated
sculpt,sculpted
air,aired
aim,aimed
ail,ailed
thrash,thrashed
aid,aided
voice,voiced
mistake,mistook
stink,stunk
sting,stung
dizzy,dizzied
brake,braked
cone,coned
exile,exiled
uplift,uplifted
conk,conked
stint,stinted
conn,conned
patent,patented
grapple,grappled
descend,descended
wheel,wheeled
raid,raided
fuss,fussed
swell,swelled
rail,railed
rain,rained
hand,handed
larrup,larruped
ingraft,ingrafted
depict,depicted
descry,descried
nip,nipped
jangle,jangled
humble,humbled
taint,tainted
contact,contacted
bereave,bereaved
mingle,mingled
halloo,hallooed
dignify,dignified
repose,reposed
hallow,hallowed
interweave,interwove
josh,joshed
exalt,exalted
shout,shouted
spread,spread
board,boarded
basset,basseted
retread,retreaded
barge,barged
retreat,retreated
disadvantage,disadvantaged
rustle,rustled
overfly,overflew
grizzle,grizzled
reassign,reassigned
augur,augured
antique,antiqued
flatter,flatted
rile,riled
hassle,hassled
flatten,flattened
bore,bored
congratulate,congratulated
matriculate,matriculated
peek,peeked
peel,peeled
elucidate,elucidated
pose,posed
confer,conferred
ply,plied
peer,peered
post,posted
chafe,chafed
chaff,chaffed
visa,visaed
cherish,cherished
croak,croaked
treble,trebled
mantle,mantled
float,floated
bound,bound
clomp,clomped
obligate,obligated
stumble,stumbled
wan,wanned
connote,connoted
wag,wagged
wad,wadded
refloat,refloated
fight,fought
wax,waxed
fizz,fizzed
pirouette,pirouetted
bespatter,bespattered
converse,conversed
true,trued
reset,reset
absent,absented
scrimmage,scrimmaged
emit,emitted
corrade,corraded
abstract,abstracted
evidence,evidenced
manure,manured
subsist,subsisted
face,faced
encrypt,encrypted
stake,staked
shrine,shrined
test,tested
upholster,upholstered
frolic,frolicked
shrink,shrunk
orate,orated
truncate,truncated
welcome,welcomed
update,updated
ramify,ramified
faze,fazed
blackleg,blacklegged
gyrate,gyrated
incarcerate,incarcerated
dance,danced
debauch,debauched
supplement,supplemented
battle,battled
varnish,varnished
zone,zoned
graph,graphed
hump,humped
flash,flashed
compensate,compensated
tusk,tusked
brown,browned
predicate,predicated
congest,congested
chirrup,chirruped
sunbathe,sunbathed
kitten,kittened
trouble,troubled
blast,blasted
sightread,sightread
gun,gunned
gum,gummed
burgeon,burgeoned
guy,guyed
disqualify,disqualified
brave,braved
regret,regretted
discover,discovered
agitate,agitated
cosh,coshed
cost,cost
stupefy,stupefied
curse,curst
appear,appeared
scaffold,scaffolded
galumph,galumphed
uniform,uniformed
appeal,appealed
satisfy,satisfied
unbosom,unbosomed
chicane,chicaned
gawk,gawked
disclaim,disclaimed
illumine,illumined
gawp,gawped
gorge,gorged
sieve,sieved
change,changed
buck,bucked
disavow,disavowed
detonate,detonated
jaw,jawed
pillow,pillowed
infract,infracted
gesticulate,gesticulated
market,marketed
prove,proved
subvert,subverted
captivate,captivated
rejuvenate,rejuvenated
coalesce,coalesced
live,lived
jam,jammed
slough,sloughed
meliorate,meliorated
entrance,entranced
club,clubbed
cluck,clucked
clue,clued
reunify,reunified
judder,juddered
prepay,prepaid
douche,douched
flinch,flinched
cap,capped
caw,cawed
cat,catted
purge,purged
can,could
defalcate,defalcated
spy,spied
chelate,chelated
attribute,attributed
chip,chipped
nock,nocked
abort,aborted
regale,regaled
refine,refined
phrase,phrased
occur,occurred
bankrupt,bankrupted
write,wrote
flank,flanked
deteriorate,deteriorated
escalate,escalated
dive,dove
bawl,bawled
countermand,countermanded
produce,produced
bear,
restate,restated
coagulate,coagulated
flourish,flourished
crepe,creped
remember,remembered
ammonify,ammonified
meddle,meddled
offend,offended
crumple,crumpled
forfeit,forfeited
brain,brained
brail,brailed
cachinnate,cachinnated
still,stilled
trifle,trifled
cosponsor,cosponsored
acknowledge,acknowledged
suffocate,suffocated
waggle,waggled
interrelate,interrelated
fling,flung
nod,nodded
rake,raked
overcrowd,overcrowded
introduce,introduced
hale,haled
recap,recaped
provision,provisioned
discuss,discussed
expedite,expedited
down,downed
placate,placated
drop,dropped
deify,deified
degauss,degaussed
outsail,outsailed
pommel,pommelled
grouse,groused
goose,goosed
replay,replayed
happen,happened
accomplish,accomplished
space,spaced
thirst,thirsted
increase,increased
hallucinate,hallucinated
tweeze,tweezed
carp,carped
cark,carked
rebel,rebelled
repurchase,repurchased
card,carded
care,cared
clarion,clarioned
outcry,outcried
profess,professed
suffice,sufficed
blind,blinded
blink,blinked
consecrate,consecrated
ring,rung
zap,zapped
size,sized
imprecate,imprecated
sheer,sheered
sheet,sheeted
breed,bred
callous,calloused
purloin,purloined
checker,checkered
trephine,trephined
uncurl,uncurled
thaw,thawed
preponderate,preponderated
repossess,repossessed
disabuse,disabused
short,shorted
peck,pecked
crack,cracked
recruit,recruited
cockle,cockled
impinge,impinged
gobble,gobbled
extinguish,extinguished
intercalate,intercalated
decompose,decomposed
slay,slew
slat,slatted
premier,premiered
slap,slapped
slam,slammed
anger,angered
breakfast,breakfasted
recover,recovered
wassail,wassailed
gangrene,gangrened
begin,began
prick,pricked
sledge,sledged
price,priced
evaporate,evaporated
oxidate,oxidated
dream,dreamt
reform,reformed
steady,steadied
slaver,slavered
claver,clavered
boggle,boggled
upgrade,upgraded
title,titled
proportion,proportioned
jolt,jolted
transude,transuded
stain,stained
shrill,shrilled
cannon,cannoned
drydock,drydocked
stroll,strolled
deprecate,deprecated
leather,leathered
entomb,entombed
husband,husbanded
burst,burst
whitewash,whitewashed
unfit,unfitted
inseminate,inseminated
habilitate,habilitated
sport,sported
concern,concerned
canoodle,canoodled
pomade,pomaded
incite,incited
glaze,glazed
rephrase,rephrased
gazette,gazetted
import,imported
orchestrate,orchestrated
notice,noticed
pettifog,pettifogged
deliver,delivered
pontificate,pontificated
pluck,plucked
blame,blamed
article,articled
hydrate,hydrated
syllabify,syllabified
unsex,unsexed
cleave,clove
jollify,jollified
guffaw,guffawed
pertain,pertained
evict,evicted
despond,desponded
wreathe,wreathed
mummify,mummified
dispatch,dispatched
exploit,exploited
geminate,geminated
uglify,uglified
invert,inverted
overjoy,overjoyed
asphyxiate,asphyxiated
conflate,conflated
agglutinate,agglutinated
exclaim,exclaimed
crumb,crumbed
trick,tricked
scud,scudded
crump,crumped
scum,scummed
trice,triced
forbear,forbore
soil,soiled
bias,biassed
embrace,embraced
beaver,beavered
worry,worried
develop,developed
assure,assured
pester,pestered
document,documented
finish,finished
unlace,unlaced
foal,foaled
foam,foamed
fruit,fruited
puff,puffed
smelt,smelted
validate,validated
breeze,breezed
demean,demeaned
alleviate,alleviated
coordinate,coordinated
decollate,decollated
taxi,taxied
fester,festered
touch,touched
speed,speeded
domicile,domiciled
refurbish,refurbished
allude,alluded
verse,versed
cogitate,cogitated
lade,laded
ream,reamed
hover,hovered
exult,exulted
read,read
swig,swigged
discontinue,discontinued
leapfrog,
detract,detracted
stunt,stunted
reap,reaped
rear,reared
commove,commoved
misquote,misquoted
circumcise,circumcised
engross,engrossed
interleave,interleaved
benefit,benefited
ensile,ensiled
laugh,laughed
squirm,squirmed
sling,slung
putter,puttered
squire,squired
angulate,angulated
circumnavigate,circumnavigated
squirt,squirted
unstring,unstrung
hustle,hustled
sadden,saddened
revivify,revivified
seine,seined
assemble,assembled
throw,threw
emasculate,emasculated
placard,placarded
chop,chopped
wolf,wolfed
renovate,renovated
resuscitate,resuscitated
stare,stared
log,logged
prepare,prepared
criminate,criminated
wigwag,wigwagged
start,started
lop,lopped
lot,lotted
leach,leached
groan,groaned
deject,dejected
recoil,recoiled
hire,hired
skedaddle,skedaddled
default,defaulted
bucket,bucketed
overpay,overpaid
inflict,inflicted
subdue,subdued
describe,described
confab,confabbed
backstroke,backstroked
trample,trampled
colly,collied
vaccinate,vaccinated
drift,drifted
carpenter,carpentered
overreact,overreacted
peal,pealed
peak,peaked
pool,pooled
bulk,bulked
unbind,unbound
smooch,smooched
phonate,phonated
moonlight,moonlighted
repay,repaid
requisition,requisitioned
forswear,forswore
precondition,preconditioned
expatiate,expatiated
pique,piqued
bequeath,bequeathed
foreshow,foreshowed
adhere,adhered
obnubilate,obnubilated
carpet,carpeted
speechify,speechified
disassociate,disassociated
insulate,insulated
foster,fostered
spearhead,spearheaded
solicit,solicited
hill,hilled
serrate,serrated
parry,parried
decide,decided
lapidify,lapidified
underperform,underperformed
curdle,curdled
fusillade,fusilladed
skate,skated
redouble,redoubled
vanquish,vanquished
dunk,dunked
fence,fenced
bung,bunged
enfeeble,enfeebled
enjoin,enjoined
hamper,hampered
chuckle,chuckled
tussle,tussled
lurch,lurched
skid,skidded
overrule,overruled
obtund,obtunded
loose,loosed
modify,modified
outdistance,outdistanced
whine,whined
soldier,soldiered
amount,amounted
obtrude,obtruded
invalidate,invalidated
shuffle,shuffled
misdemean,misdemeaned
put,put
aggress,aggressed
injure,injured
swot,swotted
erode,eroded
decrepitate,decrepitated
splosh,sploshed
indenture,indentured
excuse,excused
hurry,hurried
grill,grilled
unyoke,unyoked
titrate,titrated
swash,swashed
transcend,transcended
cowl,cowled
boycott,boycotted
exclude,excluded
cornice,corniced
thieve,thieved
reject,rejected
gash,gashed
sneak,snuck
gasp,gasped
reelect,reelected
humbug,humbugged
blush,blushed
deluge,deluged
laminate,laminated
genuflect,genuflected
dread,dreaded
egg,egged
ding,dinged
help,helped
slouch,slouched
preempt,preempted
soot,sooted
staunch,staunched
expectorate,expectorated
reseat,reseated
autoclave,autoclaved
astonish,astonished
flabbergast,flabbergasted
fool,fooled
vomit,vomited
foot,footed
menstruate,menstruated
stopper,stoppered
chamfer,chamfered
intervene,intervened
bless,blest
oppugn,oppugned
transcribe,transcribed
pamper,pampered
tighten,tightened
deride,derided
unharness,unharnessed
heave,hove
testify,testified
publish,published
jolly,jollied
equate,equated
sustain,sustained
issue,issued
outrun,outran
smock,smocked
pun,punned
insufflate,insufflated
dung,dunged
derate,derated
reason,reasoned
base,based
ask,asked
resettle,resettled
pup,pupped
bask,basked
bash,bashed
coiffure,coiffured
palpebrate,palpebrated
execrate,execrated
launch,launched
caption,captioned
undergo,underwent
devolve,devolved
assign,assigned
gasify,gasified
mist,misted
miss,missed
horse,horsed
inure,inured
blossom,blossomed
purvey,purveyed
eddy,eddied
station,stationed
scheme,schemed
demystify,demystified
slosh,sloshed
underdevelop,underdeveloped
outrange,outranged
overdrive,overdrove
dissemble,dissembled
apprentice,apprenticed
lament,lamented
anticipate,anticipated
obfuscate,obfuscated
kindle,kindled
garrison,garrisoned
bejewel,bejewelled
footnote,footnoted
overstate,overstated
controvert,controverted
yowl,yowled
lie,lied
trance,tranced
cave,caved
camouflage,camouflaged
auctioneer,auctioneered
honeycomb,honeycombed
exsert,exserted
quote,quoth
promenade,promenaded
plunder,plundered
bridle,bridled
refrigerate,refrigerated
detoxicate,detoxicated
chronicle,chronicled
clear,cleared
cleat,cleated
adulate,adulated
clean,cleaned
blend,blended
counterplot,counterplotted
ennoble,ennobled
tincture,tinctured
flicker,flickered
booze,boozed
crayon,crayoned
renegotiate,renegotiated
excise,excised
copyright,copyrighted
undersell,undersold
circle,circled
waterproof,waterproofed
outlast,outlasted
strut,strutted
bedew,bedewed
strum,strummed
intensify,intensified
fluff,fluffed
immerse,immersed
perfume,perfumed
unsaddle,unsaddled
rejig,rejigged
geld,gelt
carnify,carnified
dissertate,dissertated
cramp,cramped
backtrack,backtracked
crackle,crackled
venerate,venerated
close,closed
introject,introjected
bifurcate,bifurcated
wow,wowed
woo,wooed
premeditate,premeditated
checkmate,checkmated
stalk,stalked
philander,philandered
piss,pissed
conjoin,conjoined
spray,sprayed
aggrieve,aggrieved
distinguish,distinguished
dally,dallied
league,leagued
suspire,suspired
buzz,buzzed
vault,vaulted
stargaze,stargazed
secrete,secreted
oversleep,overslept
liken,likened
bench,benched
mumble,mumbled
stamp,stamped
damp,damped
reciprocate,reciprocated
damn,damned
mutiny,mutinied
threaten,threatened
empty,emptied
regroup,regrouped
liven,livened
hoodoo,hoodooed
wet,wetted
misconceive,misconceived
deter,deterred
bight,bighted
hobnob,hobnobbed
furrow,furrowed
loom,loomed
overplay,overplayed
look,looked
bop,bopped
match,matched
deplane,deplaned
endanger,endangered
fleet,fleeted
loot,looted
guide,guided
loop,looped
pack,packed
hoax,hoaxed
sluice,sluiced
ready,readied
grant,granted
belong,belonged
discredit,discredited
shag,shagged
vermiculate,vermiculated
conflict,conflicted
sham,shammed
banter,bantered
censure,censured
superpose,superposed
vitriol,vitrioled
unbalance,unbalanced
grind,ground
etherify,etherified
savvy,savvied
docket,docketed
abstain,abstained
pillory,pilloried
botch,botched
exhilarate,exhilarated
habituate,habituated
march,marched
evaluate,evaluated
ruff,ruffed
game,gamed
jibe,jibed
rusticate,rusticated
signal,signalled
stagnate,stagnated
manifest,manifested
bulge,bulged
sleigh,sleighed
resole,resoled
sketch,sketched
wrack,wracked
parade,paraded
aliment,alimented
furbish,furbished
undress,undressed
outnumber,outnumbered
collocate,collocated
impoverish,impoverished
savage,savaged
fettle,fettled
gild,gilt
simmer,simmered
slash,slashed
dehydrate,dehydrated
run,ran
rub,rubbed
rue,rued
step,stepped
stew,stewed
stet,stetted
ache,ached
panhandle,panhandled
subtract,subtracted
rut,rutted
shine,shone
react,reacted
reappear,reappeared
stonewall,stonewalled
hinge,hinged
misspend,misspent
silence,silenced
decertify,decertified
ensue,ensued
douse,doused
manufacture,manufactured
rummage,rummaged
sizzle,sizzled
sideswipe,sideswiped
frost,frosted
higgle,higgled
reef,reefed
reek,reeked
reel,reeled
dull,dulled
maraud,marauded
skulk,skulked
ballyhoo,ballyhooed
immure,immured
nestle,nestled
seethe,seethed
underquote,underquoted
surmise,surmised
nab,nabbed
nag,nagged
upstage,upstaged
nap,napped
forge,forged
kibitz,kibitzed
draw,drew
resign,resigned
structure,structured
supervene,supervened
orbit,orbited
bribe,bribed
pinion,pinioned
proposition,propositioned
go,went
emboss,embossed
compact,compacted
barter,bartered
stave,staved
teethe,teethed
adsorb,adsorbed
wave,waved
disinter,disinterred
underscore,underscored
button,buttoned
hive,hived
cloister,cloistered
castrate,castrated
enforce,enforced
dilute,diluted
picket,picketed
triplicate,triplicated
blitz,blitzed
jump,jumped
consociate,consociated
noise,noised
click,clicked
poke,poked
exacerbate,exacerbated
valet,valeted
experiment,experimented
infuse,infused
prescribe,prescribed
mothproof,mothproofed
scythe,scythed
adulterate,adulterated
convert,converted
chant,chanted
perfuse,perfused
repel,repelled
behead,beheaded
foresee,foresaw
win,won
manage,managed
clout,clouted
subserve,subserved
infest,infested
submerse,submersed
cybernate,cybernated
manipulate,manipulated
imbue,imbued
crap,crapped
snoop,snooped
crab,crabbed
cram,crammed
depreciate,depreciated
stem,stemmed
cackle,cackled
lacerate,lacerated
mismatch,mismatched
hotfoot,hotfooted
felicitate,felicitated
disrobe,disrobed
consort,consorted
lapse,lapsed
meet,met
nurture,nurtured
vaunt,vaunted
control,controlled
wharf,wharfed
skirl,skirled
beleaguer,beleaguered
atone,atoned
skirt,skirted
undeceive,undeceived
hesitate,hesitated
perspire,perspired
nark,narked
reestablish,reestablished
deplore,deplored
inweave,inwove
fare,fared
farm,farmed
canker,cankered
fart,farted
cantillate,cantillated
fatigue,fatigued
prance,pranced
foment,fomented
unmuzzle,unmuzzled
prettify,prettified
overdress,overdressed
decorticate,decorticated
day-dream,daydreamed
corral,corralled
scoop,scooped
scoot,scooted
rove,rove
acetylate,acetylated
costume,costumed
cruise,cruised
embezzle,embezzled
vilify,vilified
hock,hocked
brood,brooded
brook,brooked
preconceive,preconceived
swaddle,swaddled
frogmarch,frogmarched
snorkel,snorkeled
maturate,maturated
propound,propounded
front,fronted
refuel,refuelled
chasten,chastened
slide,slid
beshrew,beshrewed
unwind,unwound
illuminate,illuminated
constitute,constituted
seesaw,seesawed
measure,measured
confess,confessed
fathom,fathomed
complect,complected
cause,caused
obsess,obsessed
chitchat,chitchatted
jilt,jilted
undo,undid
sneer,sneered
brattice,bratticed
route,routed
keep,kept
stride,strode
shred,shredded
bootlick,bootlicked
manumit,manumitted
incarnate,incarnated
confuse,confused
extrude,extruded
deplume,deplumed
bitch,bitched
stump,stumped
conga,congaed
metricate,metricated
attach,attached
attack,attacked
prolapse,prolapsed
circulate,circulated
itinerate,itinerated
misspell,misspelt
punish,punished
innovate,innovated
feint,feinted
neck,necked
photograph,photographed
spurn,spurned
bloat,bloated
glisten,glistened
girdle,girdled
beg,begged
bed,bedded
spurt,spurted
subjoin,subjoined
bet,betted
exhibit,exhibited
torment,tormented
becloud,beclouded
need,needed
border,bordered
screw,screwed
arrogate,arrogated
absquatulate,absquatulated
instance,instanced
jaunt,jaunted
singe,singed
coke,coked
demist,demisted
talc,talcked
deploy,deployed
disgorge,disgorged
counterbalance,counterbalanced
awe,awed
detrain,detrained
damascene,damascened
gallivant,gallivanted
eject,ejected
upset,upset
prickle,prickled
suture,sutured
gesture,gestured
constrain,constrained
deface,defaced
unsettle,unsettled
seclude,secluded
crate,crated
molest,molested
envy,envied
cavort,cavorted
tire,tired
outflank,outflanked
brighten,brightened
hector,hectored
rasp,rasped
fuel,fuelled
achieve,achieved
dodge,dodged
gratify,gratified
enwrap,enwrapped
joint,jointed
legitimate,legitimated
shy,shied
quarantine,quarantined
instantiate,instantiated
ordain,ordained
trammel,trammelled
gush,gushed
contain,contained
grab,grabbed
widow,widowed
shake,shook
orphan,orphaned
portend,portended
reinforce,reinforced
powder,powdered
solder,soldered
unearth,unearthed
metrify,metrified
tend,tended
realign,realigned
state,stated
beautify,beautified
lug,lugged
juggle,juggled
sabotage,sabotaged
tent,tented
splurge,splurged
interfere,interfered
foreshadow,foreshadowed
relegate,relegated
key,keyed
bedraggle,bedraggled
overhaul,overhauled
thumb,thumbed
inundate,inundated
sniff,sniffed
ballyrag,ballyragged
career,careered
outrank,outranked
roil,roiled
admit,admitted
spatter,spattered
admix,admixed
christen,christened
subtitle,subtitled
bioassay,bioassayed
cohere,cohered
quit,quitted
inhale,inhaled
quip,quipped
disintegrate,disintegrated
yaw,yawed
polka,polkaed
yap,yapped
undercoat,undercoated
quiz,quizzed
treat,treated
misapply,misapplied
overprotect,overprotected
snivel,snivelled
titter,tittered
intimidate,intimidated
ripen,ripened
harden,hardened
riposte,riposted
suckle,suckled
backdate,backdated
surface,surfaced
equilibrate,equilibrated
hearten,heartened
wreck,wrecked
capture,captured
balloon,ballooned
wangle,wangled
blight,blighted
absorb,absorbed
proscribe,proscribed
powwow,powwowed
oversew,oversewed
weld,welded
intercede,interceded
glower,glowered
well,welled
riff,riffed
welt,welted
mottle,mottled
restore,restored
discord,discorded
dose,dosed
doss,dossed
snicker,snickered
outvote,outvoted
warrant,warranted
kick,kicked
canter,canted
fate,fated
burden,burdened
individuate,individuated
clown,clowned
tipple,tippled
lose,lost
divest,divested
page,paged
shed,shed
glare,glared
twitter,twittered
scuffle,scuffled
hush,hushed
shew,shewed
redress,redressed
fumigate,fumigated
mizzle,mizzled
home,homed
drizzle,drizzled
pinpoint,pinpointed
overlap,overlapped
outgo,outwent
percolate,percolated
unchain,unchained
hinder,hindered
prerecord,prerecorded
disentangle,disentangled
offset,offset
formicate,formicated
fuddle,fuddled
tongue,tongued
dub,dubbed
attaint,attainted
articulate,articulated
congregate,congregated
rejoice,rejoiced
miscount,miscounted
mastermind,masterminded
jinx,jinxed
backhand,backhanded
elate,elated
revalue,revalued
evacuate,evacuated
admonish,admonished
gain,gained
wince,winced
winch,winched
eat,ate
badmouth,badmouthed
denominate,denominated
grieve,grieved
gird,girt
rootle,rootled
limit,limited
piece,pieced
display,displayed
inhere,inhered
devise,devised
horsewhip,horsewhipped
contest,contested
humidify,humidified
fodder,foddered
star,starred
lubricate,lubricated
stay,stayed
dragoon,dragooned
foil,foiled
stab,stabbed
appoint,appointed
shunt,shunted
unlive,unlived
inset,inset
overleap,overleapt
pardon,pardoned
predestine,predestined
unfurl,unfurled
protest,protested
captain,captained
exenterate,exenterated
swag,swagged
calculate,calculated
swab,swabbed
disembarrass,disembarrassed
swat,swatted
unroll,unrolled
swap,swopped
recycle,recycled
sway,swayed
collaborate,collaborated
rescue,rescued
void,voided
warble,warbled
redact,redacted
smack,smacked
govern,governed
affect,affected
sleek,sleeked
embroider,embroidered
indurate,indurated
enhance,enhanced
rollick,rollicked
force,forced
quilt,quilted
colligate,colligated
crave,craved
subordinate,subordinated
kidnap,kidnapped
even,evened
coquet,coquetted
pace,paced
unbrace,unbraced
haze,hazed
sunder,sundered
net,netted
mew,mewed
disoblige,disobliged
nosedive,nosedived
interpret,interpreted
dry,dried
taper,tapered
credit,credited
harass,harassed
permit,permitted
fleer,fleered
intrigue,intrigued
hunch,hunched
campaign,campaigned
bayonet,bayoneted
elude,eluded
immix,immixed
overstuff,overstuffed
circumvent,circumvented
landscape,landscaped
mooch,mooched
overhear,overheard
overheat,overheated
embrangle,embrangled
call,called
calm,calmed
recommend,recommended
survive,survived
type,typed
tell,told
expose,exposed
warp,warped
warn,warned
warm,warmed
bewray,bewrayed
ward,warded
ware,wared
blindfold,blindfolded
confound,confounded
rook,rooked
roof,roofed
root,rooted
crosshatch,crosshatched
defer,deferred
give,gave
climax,climaxed
assent,assented
lure,lured
involve,involved
degenerate,degenerated
quail,quailed
freshen,freshened
loathe,loathed
sideline,sidelined
strop,stropped
raddle,raddled
anguish,anguished
salivate,salivated
sate,sated
egotrip,egotripped
answer,answered
bedight,bedighted
construe,construed
disassemble,disassembled
hydroplane,hydroplaned
purchase,purchased
attempt,attempted
fecundate,fecundated
pulsate,pulsated
maintain,maintained
operate,operated
deck,decked
befall,befell
fortify,fortified
toady,toadied
miscarry,miscarried
shackle,shackled
crew,crewed
better,
persist,persisted
carve,carved
stalemate,stalemated
overcome,overcame
misstate,misstated
microfilm,microfilmed
bankroll,bankrolled
indulge,indulged
advise,advised
wend,wended
mistrust,mistrusted
roast,roasted
bong,bonged
side,sided
bone,boned
mean,meant
improvise,improvised
combust,combusted
dawn,dawned
extract,extracted
inosculate,inosculated
jell,jelled
contend,contended
decree,decreed
typecast,typecast
videotape,videotapeed
quantify,quantified
devitrify,devitrified
content,contented
sparkle,sparkled
debit,debited
surprise,surprised
palaver,palavered
instigate,instigated
overrefine,overrefined
grease,greased
whiff,whiffed
revenge,revenged
dodder,doddered
bestow,bestowed
struggle,struggled
abate,abated
entrap,entrapped
infix,infixed
chortle,chortled
lour,loured
scrounge,scrounged
skyjack,skyjacked
fleck,flecked
attune,attuned
heckle,heckled
repoint,repointed
grade,graded
hoop,hooped
reassure,reassured
hoot,hooted
hook,hooked
deplete,depleted
enumerate,enumerated
radiate,radiated
ditch,ditched
hoof,hoofed
hood,hooded
discompose,discomposed
debase,debased
acquaint,acquainted
sidle,sidled
brabble,brabbled
brainwash,brainwashed
dwell,dwelt
mutate,mutated
reprobate,reprobated
convene,convened
dower,dowered
gyp,gypped
distance,distanced
affront,affronted
dredge,dredged
matter,
loiter,loitered
seep,seeped
rattle,rattled
mind,minded
mine,mined
ginger,gingered
seed,seeded
seem,seemed
churn,churned
seek,sought
unfasten,unfastened
reprieve,reprieved
alibi,alibied
draggle,draggled
divulge,divulged
desist,desisted
enounce,enounced
flense,flensed
scarify,scarified
iterate,iterated
exonerate,exonerated
broadcast,broadcasted
mitigate,mitigated
don,donned
entrain,entrained
alarm,alarmed
dog,dogged
digress,digressed
constrict,constricted
scotch,scotched
dot,dotted
discontent,discontented
hunger,hungered
spangle,spangled
retire,retired
chord,chorded
camphorate,camphorated
capitulate,capitulated
acquit,acquitted
cleanse,cleansed
explain,explained
cripple,crippled
sugar,sugared
integrate,integrated
hoard,hoarded
patter,pattered
deforest,deforested
stow,stowed
stop,stopped
perceive,perceived
coast,coasted
meditate,meditated
comply,complied
bat,batted
bar,barred
braze,brazed
bay,bayed
bag,bagged
troop,trooped
rival,rivalled
ban,banned
enchant,enchanted
attest,attested
reference,referenced
imitate,imitated
prophesy,prophesied
allure,allured
decerebrate,decerebrated
subject,subjected
snuff,snuffed
scrap,scrapped
sail,sailed
disprove,disproved
scram,scrammed
scrag,scragged
juxtapose,juxtaposed
personate,personated
bemuse,bemused
weary,wearied
excavate,excavated
laze,lazed
disseminate,disseminated
discommode,discommoded
dislocate,dislocated
burthen,burthened
burble,burbled
cobble,cobbled
foray,forayed
accustom,accustomed
tint,tinted
recur,recurred
regenerate,regenerated
dillydally,dillydallied
erect,erected
ting,tinged
commission,commissioned
trigger,triggered
replicate,replicated
interest,interested
overexert,overexerted
chug,chugged
wheedle,wheedled
mushroom,mushroomed
suppress,suppressed
dismiss,dismissed
disgruntle,disgruntled
deepen,deepened
downplay,downplayed
affirm,affirmed
intubate,intubated
originate,originated
near,neared
suppose,supposed
convalesce,convalesced
balance,balanced
mangle,mangled
anchor,anchored
spawn,spawned
cane,caned
recuperate,recuperated
remount,remounted
shame,shamed
jest,jested
mouse,moused
sever,severed
growl,growled
make,made
belly,bellied
contaminate,contaminated
evolve,evolved
succuss,succussed
redevelop,redeveloped
delight,delighted
consternate,consternated
misconstrue,misconstrued
pullulate,pullulated
kid,kidded
butter,buttered
romp,romped
whicker,whickered
strangulate,strangulated
inherit,inherited
berate,berated
sentence,sentenced
plash,plashed
alliterate,alliterated
identify,identified
outbalance,outbalanced
nudge,nudged
character,charactered
defray,defrayed
save,saved
dehisce,dehisced
designate,designated
opt,opted
commentate,commentated
shoulder,shouldered
chlorinate,chlorinated
squander,squandered
deal,dealt
repudiate,repudiated
revet,revetted
revel,revelled
intern,interned
invoice,invoiced
sprawl,sprawled
flounder,floundered
drudge,drudged
overcook,overcooked
beget,begot
egest,egested
bamboozle,bamboozled
burl,burled
protuberate,protuberated
burn,burnt
blackmail,blackmailed
sift,sifted
etiolate,etiolated
burp,burped
burr,
bury,buried
conceal,concealed
palisade,palisaded
copyread,copyread
commix,commixed
commit,committed
clapboard,clapboarded
marshal,marshalled
unsay,unsaid
gestate,gestated
nerve,nerved
gloss,glossed
daub,daubed
slurp,slurped
translocate,translocated
chime,chimed
unseal,unsealed
chitter,chittered
initial,initialled
subdivide,subdivided
approximate,approximated
lampoon,lampooned
fraction,fractioned
unseat,unseated
fork,forked
starve,starved
form,formed
ford,forded
syndicate,syndicated
overburden,overburdened
surrender,surrendered
boomerang,boomeranged
temper,tempered
delete,deleted
diagnose,diagnosed
shin,shinned
toss,tossed
sidestep,sidestepped
interlace,interlaced
scrawl,scrawled
vivify,vivified
ship,shipped
addle,addled
shit,shit
graft,grafted
discriminate,discriminated
disaccord,disaccorded
excel,excelled
maledict,maledicted
congeal,congealed
warehouse,warehoused
interlard,interlarded
garland,garlanded
handicap,handicapped
bilge,bilged
slink,slunk
diet,dieted
infatuate,infatuated
journey,journeyed
reign,reigned
stoke,stoked
weekend,weekended
derail,derailed
assume,assumed
jacket,jacketed
